Datetime,Water Level (m)
2024-10-31 12:00:00,8.13397e-05
2024-10-31 13:00:00,9.6487856e-05
2024-10-31 14:00:00,9.071601e-05
2024-10-31 15:00:00,7.263211e-05
2024-10-31 16:00:00,7.3065276e-05
2024-10-31 17:00:00,8.3423256e-05
2024-10-31 18:00:00,8.032434e-05
2024-10-31 19:00:00,9.605517e-05
2024-10-31 20:00:00,0.00010732293
2024-10-31 21:00:00,9.301274e-05
2024-10-31 22:00:00,8.943181e-05
2024-10-31 23:00:00,8.025277e-05
2024-11-01 00:00:00,7.478535e-05
2024-11-01 01:00:00,5.5679542e-05
2024-11-01 02:00:00,4.820321e-05
2024-11-01 03:00:00,2.8607057e-05
2024-11-01 04:00:00,1.1215267e-05
2024-11-01 05:00:00,3.4131558e-06
2024-11-01 06:00:00,-1.0489885e-06
2024-11-01 07:00:00,1.3115137e-05
2024-11-01 08:00:00,2.4425355e-05
2024-11-01 09:00:00,2.5631467e-05
2024-11-01 10:00:00,2.08541e-05
2024-11-01 11:00:00,1.2165603e-05
2024-11-01 12:00:00,2.1264512e-05
2024-11-01 13:00:00,1.4713741e-05
2024-11-01 14:00:00,3.1918057e-06
2024-11-01 15:00:00,1.8927295e-06
2024-11-01 16:00:00,2.8984423e-06
2024-11-01 17:00:00,8.118127e-06
2024-11-01 18:00:00,1.6246466e-05
2024-11-01 19:00:00,3.233333e-05
2024-11-01 20:00:00,4.1653464e-05
2024-11-01 21:00:00,4.1419506e-05
2024-11-01 22:00:00,2.9237108e-05
2024-11-01 23:00:00,2.8836757e-05
2024-11-02 00:00:00,3.3299577e-05
2024-11-02 01:00:00,3.6732596e-05
2024-11-02 02:00:00,2.5839903e-05
2024-11-02 03:00:00,9.952371e-07
2024-11-02 04:00:00,-1.0540182e-05
2024-11-02 05:00:00,-9.339746e-06
2024-11-02 06:00:00,-3.6731797e-06
2024-11-02 07:00:00,1.5313068e-06
2024-11-02 08:00:00,1.18537455e-05
2024-11-02 09:00:00,1.1532512e-05
2024-11-02 10:00:00,1.3056232e-05
2024-11-02 11:00:00,-4.8190145e-06
2024-11-02 12:00:00,-1.9167368e-05
2024-11-02 13:00:00,-2.5074582e-05
2024-11-02 14:00:00,-7.673134e-06
2024-11-02 15:00:00,1.4549883e-05
2024-11-02 16:00:00,2.5004949e-05
2024-11-02 17:00:00,8.207575e-06
2024-11-02 18:00:00,-6.077877e-07
2024-11-02 19:00:00,5.8116184e-06
2024-11-02 20:00:00,3.0010826e-05
2024-11-02 21:00:00,4.070449e-05
2024-11-02 22:00:00,3.9769922e-05
2024-11-02 23:00:00,4.47415e-05
2024-11-03 00:00:00,5.1219984e-05
2024-11-03 01:00:00,3.7421236e-05
2024-11-03 02:00:00,2.1168822e-05
2024-11-03 03:00:00,7.1253803e-06
2024-11-03 04:00:00,2.5778093e-06
2024-11-03 05:00:00,7.487428e-06
2024-11-03 06:00:00,1.6896702e-05
2024-11-03 07:00:00,3.0100653e-05
2024-11-03 08:00:00,3.5746667e-05
2024-11-03 09:00:00,3.774189e-05
2024-11-03 10:00:00,2.9206785e-05
2024-11-03 11:00:00,2.2324562e-05
2024-11-03 12:00:00,2.693971e-05
2024-11-03 13:00:00,3.388092e-05
2024-11-03 14:00:00,3.205652e-05
2024-11-03 15:00:00,2.5469497e-05
2024-11-03 16:00:00,4.105607e-06
2024-11-03 17:00:00,5.330905e-07
2024-11-03 18:00:00,7.659234e-06
2024-11-03 19:00:00,1.5961503e-05
2024-11-03 20:00:00,3.0549018e-05
2024-11-03 21:00:00,4.800898e-05
2024-11-03 22:00:00,5.392652e-05
2024-11-03 23:00:00,4.7946512e-05
2024-11-04 00:00:00,4.2750664e-05
2024-11-04 01:00:00,3.4829896e-05
2024-11-04 02:00:00,2.5713032e-05
2024-11-04 03:00:00,1.4749208e-05
2024-11-04 04:00:00,-1.851396e-06
2024-11-04 05:00:00,-1.0271073e-05
2024-11-04 06:00:00,-9.523978e-06
2024-11-04 07:00:00,1.5137745e-06
2024-11-04 08:00:00,1.4552955e-05
2024-11-04 09:00:00,2.9215702e-05
2024-11-04 10:00:00,2.8000153e-05
2024-11-04 11:00:00,2.330151e-05
2024-11-04 12:00:00,1.5625728e-05
2024-11-04 13:00:00,1.5323041e-05
2024-11-04 14:00:00,1.2233217e-05
2024-11-04 15:00:00,1.1116912e-05
2024-11-04 16:00:00,1.0603514e-05
2024-11-04 17:00:00,6.15589e-06
2024-11-04 18:00:00,1.9267065e-05
2024-11-04 19:00:00,2.9785217e-05
2024-11-04 20:00:00,3.4201268e-05
2024-11-04 21:00:00,4.8383674e-05
2024-11-04 22:00:00,5.6246623e-05
2024-11-04 23:00:00,5.4395045e-05
2024-11-05 00:00:00,4.6440622e-05
2024-11-05 01:00:00,3.866695e-05
2024-11-05 02:00:00,2.568568e-05
2024-11-05 03:00:00,1.1237156e-05
2024-11-05 04:00:00,-2.6454786e-06
2024-11-05 05:00:00,-2.1905764e-05
2024-11-05 06:00:00,-2.5200514e-05
2024-11-05 07:00:00,-1.702971e-05
2024-11-05 08:00:00,-5.5824235e-06
2024-11-05 09:00:00,1.1057445e-05
2024-11-05 10:00:00,2.6923852e-05
2024-11-05 11:00:00,2.3760367e-05
2024-11-05 12:00:00,2.083139e-05
2024-11-05 13:00:00,1.6086839e-05
2024-11-05 14:00:00,1.4356033e-05
2024-11-05 15:00:00,1.2400428e-05
2024-11-05 16:00:00,1.3571288e-05
2024-11-05 17:00:00,9.6706635e-06
2024-11-05 18:00:00,1.320327e-05
2024-11-05 19:00:00,1.870965e-05
2024-11-05 20:00:00,2.4765746e-05
2024-11-05 21:00:00,3.1945237e-05
2024-11-05 22:00:00,4.695399e-05
2024-11-05 23:00:00,5.7445086e-05
2024-11-06 00:00:00,5.4077842e-05
2024-11-06 01:00:00,3.2037555e-05
2024-11-06 02:00:00,1.5049376e-05
2024-11-06 03:00:00,1.1005482e-07
2024-11-06 04:00:00,-1.9740182e-05
2024-11-06 05:00:00,-3.9647995e-05
2024-11-06 06:00:00,-4.6693942e-05
2024-11-06 07:00:00,-4.181545e-05
2024-11-06 08:00:00,-2.8595021e-05
